Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,102
Apurímac Region,≤100
Arequipa Region,130
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,≤100
Cusco Region,≤100
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,≤100
Junín Region,108
La Libertad Region,207
Lambayeque Region,121
Lima Region,1274
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,120
Puno Region,≤100
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
