Location name,Amount spent (HUF)
Baranya County,93478
Borsod-Abaúj-Zemplén County,155212
Budapest,725540
Bács-Kiskun County,112959
Békés County,81760
Csongrád County,131005
Fejér County,109829
Győr-Moson-Sopron County,121313
Hajdú-Bihar County,114269
Heves County,79081
Jász-Nagykun-Szolnok County,81852
Komárom-Esztergom County,79239
Nógrád County,38766
Pest County,322714
Somogy County,65858
Szabolcs-Szatmár-Bereg County,130096
Tolna County,48708
Unknown,132
Vas County,75812
Veszprém County,79499
Zala County,79087
