Location name,Amount spent (PKR)
Azad Kashmir,1914
Balochistan,2806
Federally Administered Tribal Areas,508
Gilgit-Baltistan,1082
Islamabad Capital Territory,4309
Khyber Pakhtunkhwa,16027
Punjab,76222
Sindh,25992
Unknown,≤100
