Location name,Amount spent (USD)
Al Wahat District,≤100
Benghazi,≤100
Butnan District,≤100
Derna District,≤100
Ghat District,≤100
Jabal al Akhdar,≤100
Jabal al Gharbi District,≤100
Jafara,≤100
Jufra District,≤100
Kufra District,≤100
Marj District,≤100
Misrata District,≤100
Murqub District,≤100
Murzuq District,≤100
Nalut District,≤100
Nuqat al Khams,≤100
Sabha District,≤100
Sirte District,≤100
Tripoli District,≤100
Unknown,≤100
Wadi al Hayaa District,≤100
Wadi al Shatii District,≤100
Zawiya District,≤100
