Location name,Amount spent (HUF)
Baranya County,129396
Borsod-Abaúj-Zemplén County,175989
Budapest,861183
Bács-Kiskun County,151218
Békés County,105974
Csongrád County,175963
Fejér County,138075
Győr-Moson-Sopron County,137312
Hajdú-Bihar County,161478
Heves County,97322
Jász-Nagykun-Szolnok County,109167
Komárom-Esztergom County,98329
Nógrád County,61002
Pest County,330683
Somogy County,85807
Szabolcs-Szatmár-Bereg County,142306
Tolna County,71673
Unknown,≤100
Vas County,78207
Veszprém County,101791
Zala County,91903
