Location name,Amount spent (SEK)
Blekinge County,2938
Dalarna County,5734
Gotland County,1688
Gävleborg County,5550
Halland County,6244
Jämtland County,2646
Jönköping County,6720
Kalmar County,4944
Kronoberg County,3332
Norrbotten County,4413
Skåne County,25544
Stockholm County,53179
Södermanland County,5894
Unknown,≤100
Uppsala County,7697
Värmland County,5365
Västerbotten County,4792
Västernorrland County,4530
Västmanland County,5033
Västra Götaland County,35518
Örebro County,6336
Östergötland County,8859
