Location name,Amount spent (MXN)
Aguascalientes,8909
Baja California,18499
Baja California Sur,5005
Campeche,7071
Chiapas,12997
Chihuahua,17857
Coahuila de Zaragoza,38261
Colima,8250
Distrito Federal,128284
Durango,6893
Guanajuato,34282
Guerrero,8705
Hidalgo,12836
Jalisco,111156
Michoacán de Ocampo,20094
Morelos,11456
Nayarit,5535
Nuevo León,155130
Oaxaca,11955
Puebla,21324
Querétaro Arteaga,18127
Quintana Roo,21656
San Luis Potosi,19695
Sinaloa,14473
Sonora,22183
State of Mexico,68800
Tabasco,18842
Tamaulipas,24077
Tlaxcala,4080
Unknown,≤100
Veracruz,26994
Yucatán,26604
Zacatecas,5206
