Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,≤100
Cerro Largo Department,≤100
Colonia Department,≤100
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,161
Montevideo Department,761
Paysandú Department,1078
Rivera Department,272
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,≤100
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,182
Unknown,≤100
