Location name,Amount spent (USD)
Alabama,8792
Alaska,2163
American Samoa,≤100
Arizona,22193
Arkansas,6019
California,95382
Colorado,14974
Connecticut,7978
Delaware,2250
Florida,52932
Georgia,20485
Guam,129
Hawaii,3725
Idaho,4780
Illinois,30129
Indiana,19176
Iowa,11705
Kansas,6912
Kentucky,10656
Louisiana,14679
Maine,6972
Maryland,22217
Massachusetts,18094
Michigan,29074
Minnesota,12678
Mississippi,8472
Missouri,15811
Montana,3467
Nebraska,3972
Nevada,5989
New Hampshire,3816
New Jersey,25337
New Mexico,6348
New York,51520
North Carolina,26817
North Dakota,2009
Northern Mariana Islands,≤100
Ohio,26628
Oklahoma,9789
Oregon,16192
Pennsylvania,33981
Puerto Rico,≤100
Rhode Island,2273
South Carolina,8961
South Dakota,1860
Tennessee,15803
Texas,74929
Unknown,≤100
Utah,8109
Vermont,2265
Virgin Islands (U.S.),≤100
Virginia,25441
Washington,28595
"Washington, District of Columbia",15464
West Virginia,5083
Wisconsin,16290
Wyoming,1278
