Location name,Amount spent (ZAR)
Eastern Cape,969
Free State,486
Gauteng,3236
KwaZulu-Natal,1639
Limpopo,730
Mpumalanga,816
North West,596
Northern Cape,360
Unknown,≤100
Western Cape,8559
