Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,2005
Bicol Region,7950
Cagayan Valley,6377
Calabarzon,36959
Caraga,4061
Central Luzon,24612
Central Visayas,13469
Cordillera Administrative Region,3384
Davao Region,9522
Eastern Visayas,6949
Ilocos Region,9743
Metro Manila,50860
Mimaropa,4793
Northern Mindanao,8043
Soccsksargen,7061
Unknown,≤100
Western Visayas,13642
Zamboanga Peninsula,7935
