Location name,Amount spent (CLP)
Antofagasta Region,75795
Araucanía Region,113235
Arica y Parinacota Region,31626
Atacama Region,39438
Aysén Region,19718
Bío Bío Region,235325
Coquimbo Region,178129
Los Lagos Region,83665
Los Ríos Region,40647
Magallanes y la Antártica Chilena Region,26304
Maule Region,99774
O'Higgins Region,100292
Santiago Metropolitan Region,983355
Tarapacá Region,41810
Unknown,≤100
Valparaíso Region,209828
