Location name,Amount spent (PLN)
Greater Poland Voivodeship,4953
Kuyavian-Pomeranian Voivodeship,2688
Lesser Poland Voivodeship,4693
Lower Silesian Voivodeship,3619
Lublin Voivodeship,1974
Lubusz Voivodeship,966
Masovian Voivodeship,11353
Opole Voivodeship,953
Podkarpackie Voivodeship,1662
Podlaskie Voivodeship,1149
Pomeranian Voivodeship,3645
Silesian Voivodeship,4590
Unknown,≤100
Warmian-Masurian Voivodeship,1296
West Pomeranian Voivodeship,2150
Łódź Voivodeship,2867
Świętokrzyskie Voivodeship,1069
