Location name,Amount spent (JPY)
Aichi Prefecture,14029
Akita Prefecture,1131
Aomori Prefecture,1762
Chiba Prefecture,13123
Ehime Prefecture,2259
Fukui Prefecture,2247
Fukuoka Prefecture,23620
Fukushima Prefecture,3863
Gifu Prefecture,3374
Gunma Prefecture,3251
Hiroshima Prefecture,25686
Hokkaido,8863
Hyōgo Prefecture,12375
Ibaraki Prefecture,3729
Ishikawa Prefecture,1936
Iwate Prefecture,1943
Kagawa Prefecture,2356
Kagoshima Prefecture,2050
Kanagawa Prefecture,27361
Kumamoto Prefecture,2687
Kyoto Prefecture,6718
Kōchi Prefecture,830
Mie Prefecture,4322
Miyagi Prefecture,10726
Miyazaki Prefecture,1601
Nagano Prefecture,3573
Nagasaki Prefecture,2021
Nara Prefecture,2625
Niigata Prefecture,3416
Okayama Prefecture,2794
Okinawa Prefecture,3145
Osaka Prefecture,28845
Saga Prefecture,1708
Saitama Prefecture,12407
Shiga Prefecture,2751
Shimane Prefecture,1042
Shizuoka Prefecture,5956
Tochigi Prefecture,4830
Tokushima Prefecture,1120
Tokyo,46979
Tottori Prefecture,1120
Toyama Prefecture,1889
Unknown,2712
Wakayama Prefecture,1376
Yamagata Prefecture,1616
Yamaguchi Prefecture,3211
Yamanashi Prefecture,2668
Ōita Prefecture,1974
