Location name,Amount spent (LBP)
Beirut Governorate,2782826
Beqaa Governorate,745520
Mount Lebanon Governorate,1676426
Nabatieh Governorate,358364
North Governorate,1244654
South Governorate,705096
Unknown,≤100
