Location name,Amount spent (BRL)
Acre (state),1110
Alagoas,3407
Amapá,1425
Amazonas,6724
Bahia,16489
Ceará,12749
Espírito Santo,5102
Federal District,6036
Goiás,8875
Maranhão,7555
Mato Grosso,5168
Mato Grosso do Sul,5291
Minas Gerais,27045
Paraná,14240
Paraíba,5849
Pará,6470
Pernambuco,14117
Piauí,3546
Rio Grande do Norte,5247
Rio Grande do Sul,14044
Rio de Janeiro (state),21101
Rondônia,2119
Roraima,1629
Santa Catarina,10592
Sergipe,2446
São Paulo (state),64505
Tocantins,1971
Unknown,≤100
