Location name,Amount spent (DKK)
Capital Region of Denmark,46698
Central Denmark Region,24682
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,10194
Region of Southern Denmark,21777
Unknown,≤100
Zealand Region,13370
