Location name,Amount spent (INR)
Andaman and Nicobar Islands,344
Andhra Pradesh,107416
Arunachal Pradesh,3145
Assam,33158
Bihar,117470
Chandigarh,4900
Chhattisgarh,128372
Dadra and Nagar Haveli,1509
Delhi,65726
Goa,4634
Gujarat,79281
Haryana,50640
Himachal Pradesh,21732
Jammu and Kashmir,18747
Jharkhand,31568
Karnataka,55050
Kerala,13190
Lakshadweep,≤100
Madhya Pradesh,441628
Maharashtra,217913
Manipur,691
Meghalaya,2898
Mizoram,4260
Nagaland,1783
Odisha,30366
Puducherry,2347
Punjab region,43829
Rajasthan,325929
Sikkim,2107
Tamil Nadu,53534
Telangana,124481
Tripura,4332
Unknown,312
Uttar Pradesh,182899
Uttarakhand,30371
West Bengal,78665
