Location name,Amount spent (PLN)
Greater Poland Voivodeship,3816
Kuyavian-Pomeranian Voivodeship,2068
Lesser Poland Voivodeship,4334
Lower Silesian Voivodeship,3416
Lublin Voivodeship,1831
Lubusz Voivodeship,958
Masovian Voivodeship,6596
Opole Voivodeship,888
Podkarpackie Voivodeship,1766
Podlaskie Voivodeship,964
Pomeranian Voivodeship,2242
Silesian Voivodeship,4653
Unknown,≤100
Warmian-Masurian Voivodeship,980
West Pomeranian Voivodeship,2166
Łódź Voivodeship,2830
Świętokrzyskie Voivodeship,1503
