Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,35574,163
693907914395620,良杯製所 Oolab,良杯製所 Oolab,25102,10
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),20533,56
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,17778,5
241284961029,udn.com 聯合新聞網,udn.com 聯合新聞網,6886,3
248954465174600,TOYOTA Taiwan,TOYOTA Taiwan,6127,1
136185963597716,Cheap,Cheap,5766,9
113021403762187,法律協會-債務協商 更生 清算 -全台服務,傢宇 吳,5528,2
106801464127093,目目非營利 MUVE NPO,目目非營利,4963,9
699398610097783,劉仁照 Liu Jen-Chao,劉仁照,4480,6
343347583411734,歡樂大東家,These ads ran without a disclaimer,4390,1
177161918975981,基督教芥菜種會,基督教芥菜種會,3986,18
124473380937123,勵馨基金會 The Garden of Hope Foundation,勵馨基金會 The Garden of Hope Foundation,3966,4
211730475524462,大陸委員會,大陸委員會,3450,7
467933563234921,南門書局-網路圖書名店、也有實體店面，誠信可靠！,玉河 孫,3178,6
102046048924214,Alpha plus - 人才加速器,Alpha plus - 人才加速器,3032,4
109462390640602,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,芸廷 林,2825,45
219315794887869,聯合報,聯合報股份有限公司,2746,44
158025223269,今周刊,今周刊,2502,9
104624290080479,張育美,翊斌黃,2150,6
1649523455281990,遠山呼喚,遠山呼喚國際貧童教育組織,2017,3
1423830381084156,中華民國財政部,中華民國財政部,1970,1
1921016244677218,國際橋牌社 Island Nation,國際橋牌社 Island Nation,1924,4
171759036215066,創世紀不動產教育訓練中心,Micky  Wu,1790,26
113988264929657,Yp,育璞林,1533,18
101297638763256,識媒體,識媒體,1502,3
100714476220256,永續金融先行者聯盟,永續金融先行者聯盟,1433,24
101355918337667,地天泰國際顧問有限公司,地天泰國際顧問有限公司,1382,4
150336441057,民主進步黨,民主進步黨,1375,1
104958309091106,曹興誠  八不居士,曹興誠  八不居士,1349,1
1537741526464370,桃園市議長邱奕勝,奕勝 邱,1320,3
217802801759737,郭昭巖粉絲團,郭昭巖粉絲團,1254,3
175549807657,台達基金會,台達基金會,1230,4
117437684611270,桃園有議事・民進黨議會黨團,民主進步黨桃園市議會黨團,1133,1
286487218798,遠見雜誌,遠見雜誌,1127,4
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1050,2
449156429152075,麻吉理財顧問公司,黃詩凭,1040,1
104690535860982,楊永明,永明楊,1030,4
132727540081371,立法委員賴惠員,立法委員賴惠員,1017,2
1487218698275407,南門書局二店-網路特價書店-也有實體店面，價格親民，誠信可靠的老店。（師友文化）,玉河 孫,1007,3
112272141484784,游智彬：桃園阿彬哥,Sha Tin Huang,1000,2
200363073753153,彩虹平權大平台,彩虹平權大平台,983,1
186593071836,商業周刊（商周.com）,商業周刊（商周.com）,886,4
105692292105892,黃士修,Shih-Hsiu Huang,787,5
1547614165384988,QuickseeK快析輿情資料庫,QuickseeK快析輿情資料庫,781,7
1649151078446134,卓冠廷,冠廷卓,759,21
436843193180529,Unipapa,Unipapa,750,12
104697104882554,Tpoc台灣議題研究中心,TPOC台灣議題研究中心,737,6
189061482332,張嘉郡,嘉郡張,720,2
390569611008641,願景工程基金會 Vision Project,願景工程基金會,694,22
1855418728011324,鏡週刊,鏡週刊,693,3
188358792124,聯經出版,聯經出版,687,2
277223962685223,Nespresso.TWN,Nespresso.TWN,681,12
100269158455411,Wh偉鴻金融貸款中心,傢宇 吳,672,1
791870507594526,利樂創新界,利樂創新界,670,7
743100072477291,台中市議員何文海,文海 何,666,3
285691048228640,新北市議員 劉哲彰,怡文 王,647,2
126535244622269,台北市議員 李柏毅,李柏毅,643,1
111334712256714,勇媽阿惠 - 黃敏惠,勇媽阿惠 - 黃敏惠,623,2
1621835121361449,陳超明-阿明哥粉絲團,超明 陳,618,2
127628276929,天下雜誌,天下雜誌,610,1
201785650801,亞洲大學(Asia University Taiwan),These ads ran without a disclaimer,595,1
235679595900,民視新聞,民視新聞,585,5
1629474157289221,小牛頓,小牛頓科學教育有限公司,576,7
802529286429232,Q-GLYM,These ads ran without a disclaimer,557,1
307448579410362,感染誌 Hivstory,感染誌 Hivstory,551,1
327941870899267,元智大學 i Life,元智大學 i Life,544,2
1743825042576235,楊文科,楊文科,519,1
101629185999930,永安理財專員-花花,永安理財專員-花花,518,1
1043591575667511,後龍鎮公所,宗毅 吳,503,1
1659728604312270,台泥企業團,台泥,501,2
104193848228778,PointLife點生活,PointLife點生活,500,1
397602236982040,三立iNEWS,三立新聞,500,1
108696572024879,民視佮你講（Bîn-sī kah lí kóng）,民視新聞,495,4
191690867518507,江啟臣,江啟臣,491,1
465616346853075,RE-THINK 重新思考,RE-THINK 重新思考,478,7
652438848137404,連勝文,連勝文,476,1
102475659251313,蘇婉真,蘇婉真,473,3
110281231630482,Earth Helper 減碳永續行動,Earth Helper 減碳永續行動,464,1
794188814045662,新業建設 Hsinyeh,新業建設股份有限公司,447,1
215213505975,FUNDAY英語教育,FUNDAY英語教育,438,2
547129002067069,杜文中,杜文中,432,1
157825744293951,The Garden of Hope Foundation- International Affairs 勵馨基金會國際事務,The Garden of Hope Foundation- International Affairs 勵馨基金會國際事務,427,2
113761234998842,温宗諭,博盛侯,424,1
101662265434180,消防安全有法可管,消防安全有法可管,416,11
121692144530435,Discovery頻道,Discovery頻道,412,1
109193084989327,pototo_dosu,These ads ran without a disclaimer,393,1
776257359221734,藍敏煌Blue,藍敏煌,366,1
1680942122167263,Schneider Electric,品瑄 黃,350,4
148513668543221,地球公民基金會,地球公民基金會,329,6
230776738922933,顏蔚慈,琇雯顏,323,1
997683843637673,蔡培慧 慧做事真實在,蔡培慧 慧做事真實在,320,1
101576862144790,工程師看政治,玄超 黃,308,5
226660410787355,民視體育新聞,民視新聞,304,5
100990271352189,勞工心聲我來發聲 朱健銘,健銘 朱,303,1
1234106229938484,台灣健康空氣行動聯盟,慧琳趙,302,2
239512030682497,第一手星聞,民視新聞,301,3
679518422104905,民視全球新聞,民視新聞,301,2
100216765069813,唐平榮 執行長的人生甘味廚房,唐平榮 執行長的人生甘味廚房,298,2
2290806454495023,Mangodan芒菓丹,澤嵐 林,297,1
108096904126871,數位女力聯盟WIDI,凱強 張,295,1
290769701616159,2020國際海報徵選,2020國際海報徵選,292,1
1494980514073617,故事 StoryStudio,故事：寫給所有人的歷史,287,1
103141681121150,城市學,遠見雜誌,281,1
354149841356884,哈本咖啡 Happen Coffee,林奕丞,272,9
103469901828540,挖貝 WaBay,挖貝 WaBay,271,3
110699089014688,三立新聞,三立新聞,269,2
1385225591717634,何權峰 高雄市議員,何權峰 高雄市議員,259,1
224716348398040,SMAT台灣智慧移動產業協會,台灣智慧移動產業協會,250,10
784013591704650,彰化市公所,彰化市公所,236,1
158025223269,今周刊,These ads ran without a disclaimer,232,1
158723167479444,再生能源資訊網,再生能源資訊網,226,1
814142741942881,陳若翠-微笑加油讚,郁琪廖,222,6
598218730636680,彰化邱建富,邱建富,221,2
810120492410745,全國教育產業總工會,全國教育產業總工會,205,2
104103317870892,雪薇英文,These ads ran without a disclaimer,199,2
103993244913942,Milly & Sissy 台灣,Stephanie Hsu,199,2
107162861090654,法律協會-前置協商  更生 清算  免費諮詢,Yaya Lin,198,1
129452013855801,RITE,RITE,196,1
106118168971467,債務人權益協會 扣薪 協商 更生 清算,傢宇 吳,194,1
469433823136537,CSRone永續觀點,CSRone永續觀點,192,1
791039751042770,好民文化行動,好民文化行動,187,2
105497726206174,立法委員 王美惠,雅蓮袁,185,2
195094157238158,好立委 楊瓊瓔,宛儀林,180,1
104629137889168,柏瑞投信,These ads ran without a disclaimer,174,9
602353113208382,台灣法學基金會,財團法人台灣法學基金會,162,1
376687563131189,謝衣鳯,衣鳯謝,162,1
164483516927300,張景嵐,張景嵐,161,1
105742975534267,吳明宜,吳明宜,159,8
1398002093793689,BNI 高屏區,BNI 高屏區,156,3
113407758690951,台灣動物社會研究會,台灣動物社會研究會,155,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,152,3
116906978005986,讓中正，更傑出,讓中正，更傑出,151,2
201107280815936,潔淨學-不咬手潔淨體貼,永勝 許,150,3
120869137965597,SEMI 國際半導體產業協會,SEMI 國際半導體產業協會,148,2
546919432374583,台灣三井不動產－投資顧問部,緻霖高,144,1
106884252092730,恆好玩｜永續行動平台,恆好玩｜永續行動平台,137,4
569626243213799,生鮮時書,生鮮時書,137,1
1501887220103594,台灣女人連線．台灣女人健康網,怡顯劉,137,1
276861822357066,高金素梅(吉娃斯．阿麗),智葟 陳,133,2
101718182459153,天秤座戰士,Companionship Digital,129,2
796994720374176,鳴人堂,鳴人堂,126,1
196343007098812,PFaudio翊仁專業車用影音,These ads ran without a disclaimer,118,1
108803285304242,秀秀律師－秀策法律急先鋒,士閎沈,113,1
100195379426027,愛德華先進科技 Edwards Technologies Limited,愛德華先進科技 Edwards Technologies Limited,111,2
375176372888863,桃園電子報,桃園電子報,107,1
116806840188577,中華民國不動產經營管理協會,中華民國不動產經營管理協會,105,1
101167718281657,徐勝凌,勝凌徐,103,1
101383501930218,永康黃肇輝,黃肇輝,101,1
891199440972878,魏嘉彥,魏嘉彥,≤100,1
112570843421623,社團法人台灣你不是一個人實踐協會,柏岑 葉,≤100,1
241744040079991,春山出版,甘彩蓉,≤100,1
593374924100942,經濟民主連合,社團法人經濟民主連合,≤100,1
748193915263885,羅廷瑋,大銘阮,≤100,13
647774598986133,深聽嘉義-黃思婷議員,林政翰,≤100,1
125534862174582,法律萬狀通-書狀生成,法律萬狀通-書狀生成,≤100,1
131795423172,徐欣瑩,依紋李,≤100,1
101438659233740,卓越電子報,縱橫加策略公司,≤100,1
112013301598136,邱正宏醫師,These ads ran without a disclaimer,≤100,1
237483602952352,黃適卓,適卓 黃,≤100,1
218229778615150,朱珍瑤,珍瑤朱,≤100,2
673035569401167,育田基金會 Mercyland,財團法人育田社會福利慈善基金會,≤100,2
1503745219913314,"孫大千Sun, Ta-Chien","孫大千Sun, Ta-Chien",≤100,1
1645501069043806,科科性別,國立高雄師範大學,≤100,2
1424904337764519,徐其萬．信賴首選,徐其萬,≤100,1
106466901177714,太武新村眷村文創園區,太武新村眷村文創園區,≤100,1
111647608302462,民事新聞S,These ads ran without a disclaimer,≤100,1
259430250825193,BSI Taiwan,BSI Taiwan,≤100,1
362947561186301,何禮臺-新城鄉公所,紳旭 李,≤100,1
106158021385348,汪叡聖-實在‧最好,叡聖 汪,≤100,1
114159468223784,張建焜-行動發光 照亮青商,林杰,≤100,5
111695394938904,桃園市議員 陳韋曄,韋曄陳,≤100,2
105931358099314,遠雄文教公益基金會,遠雄文教公益基金會,≤100,3
111537255115777,Southmatea絲蒂安阿根廷國寶茶,These ads ran without a disclaimer,≤100,1
112390558185056,JUDY 美麗私藏,These ads ran without a disclaimer,≤100,2
103921062032627,苗栗縣非都市土地再生能源發電案場巡監綠電巡守隊,振宏林,≤100,1
211551409043883,Innergie,Innergie,≤100,1
100506478473780,公視主題之夜 SHOW,公視主題之夜SHOW,≤100,1
101812532622958,日本Jmaaメディカル居家保健芳療協會,日本Jmaaメディカル居家保健芳療協會,≤100,1
119696544420825,Chat Moss AI Chat Robot,These ads ran without a disclaimer,≤100,1
110125264121324,自由路上藝術節,林冠億,≤100,1
1847777185521418,放言 Fount Media,放言科技傳媒股份有限公司,≤100,1
1685699031750671,傑作陶藝-台灣工藝之店,佳欣 蔡,≤100,1
521176024619313,花輪哥,傑齊 黃,≤100,6
103919981024103,陳以信,Yuehmei Li,≤100,3
104816351646609,學識 Hok6.com,These ads ran without a disclaimer,≤100,1
190684970959969,宜蘭綠色博覽會,堃廉崔,≤100,3
180516279238465,桃園市立美術館 Taoyuan Museum of Fine Arts,桃園市立美術館 Taoyuan Museum of Fine Arts,≤100,1
2316232072026776,阿里巴巴台灣創業者基金 Alibaba Taiwan Entrepreneurs Fund,These ads ran without a disclaimer,≤100,1
1266518076746162,失智・時空記憶的旅人（Dementia）,These ads ran without a disclaimer,≤100,1
1793252634219981,TPCF ECO 熊厲害,These ads ran without a disclaimer,≤100,1
1553668178254881,淨毒五郎 Chef Clean,志強靳,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,1
109946254161907,Tommy 獨立理財顧問,詠程 許,≤100,1
108258998739587,I Did not know,These ads ran without a disclaimer,≤100,3
441353669246093,Capital 資本平台,These ads ran without a disclaimer,≤100,1
104478515128771,自忠學堂,Kaiwun Lin,≤100,4
2418643321715898,Daily Stickers,These ads ran without a disclaimer,≤100,1
106843828862974,Worlds knoledge,These ads ran without a disclaimer,≤100,1
110807438602372,Steno Research,These ads ran without a disclaimer,≤100,1
805499066304399,Centre for International Studies and Development,These ads ran without a disclaimer,≤100,1
106910121661037,優源好食 Roots of Quality Foods,These ads ran without a disclaimer,≤100,9
267597209967736,勝陽國際 宣影布 P-Tex,These ads ran without a disclaimer,≤100,1
201785650801,亞洲大學(Asia University Taiwan),亞洲大學,≤100,1
104796114868888,一起登上健康高峰吧！Dr.許明翰－全口重建牙醫師,These ads ran without a disclaimer,≤100,2
115372331516732,Z-51-pro,These ads ran without a disclaimer,≤100,1
