Location name,Amount spent (RON)
Alba County,328
Arad County,614
Argeș County,357
Bacău County,613
Bihor County,645
Bistrița-Năsăud County,180
Botoșani County,687
Brașov County,692
Brăila County,161
Bucharest,1797
Buzău County,269
Caraș-Severin County,138
Cluj County,517
Constanța County,541
Covasna County,143
Călărași County,130
Dolj County,466
Dâmbovița County,434
Galați County,372
Giurgiu County,≤100
Gorj County,252
Harghita County,252
Hunedoara County,251
Ialomița County,139
Iași County,461
Ilfov County,250
Maramureș County,321
Mehedinți County,170
Mureș County,504
Neamț County,540
Olt County,169
Prahova County,539
Satu Mare County,198
Sibiu County,288
Suceava County,457
Sălaj County,149
Teleorman County,137
Timiș County,514
Tulcea County,109
Unknown,≤100
Vaslui County,206
Vrancea County,311
Vâlcea County,210
