Location name,Amount spent (EUR)
Alsace,626
Aquitaine,1238
Auvergne,423
Basse-Normandie,406
Bourgogne,432
Bretagne,1038
Centre,721
Champagne-Ardenne,398
Corse,140
Franche-Comté,288
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,576
Languedoc-Roussillon,1081
Limousin,224
Lorraine,729
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,893
New Caledonia,≤100
Nord-Pas-de-Calais,1134
Pays de la Loire,1018
Picardie,572
Poitou-Charentes,589
Provence-Alpes-Côte d'Azur,2575
Reunion Island,≤100
Rhône-Alpes,2321
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,4600
