Location name,Amount spent (NZD)
Auckland Region,4098
Bay of Plenty Region,803
Canterbury,1871
Cook Islands,≤100
Gisborne District,111
Hawke's Bay,403
Manawatu-Wanganui,802
Marlborough Region,130
Nelson Province,188
Niue,≤100
Northland Region,439
Otago,672
Southland,327
Taranaki,320
Tasman District,103
Tokelau,≤100
Unknown,≤100
Waikato,1182
Wellington Region,1502
West Coast,≤100
