Location name,Amount spent (USD)
Azuay Province,654
Bolívar Province,122
Carchi Province,104
Cañar Province,149
Chimborazo Province,359
Cotopaxi Province,313
El Oro Province,793
Esmeraldas Province,360
Galápagos Province,≤100
Guayas Province,2801
Imbabura Province,241
Loja Province,533
Los Ríos Province,644
Manabí Province,933
Morona-Santiago Province,156
Napo Province,≤100
Orellana Province,118
Pastaza Province,128
Pichincha Province,1782
Santa Elena Province,221
Santo Domingo de los Tsáchilas Province,282
Sucumbíos Province,109
Tungurahua Province,798
Unknown,≤100
Zamora-Chinchipe Province,117
