Location name,Amount spent (EUR)
Alsace,528
Aquitaine,1045
Auvergne,327
Basse-Normandie,354
Bourgogne,386
Bretagne,882
Centre,640
Champagne-Ardenne,369
Corse,120
Franche-Comté,245
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,512
Languedoc-Roussillon,984
Limousin,187
Lorraine,745
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,797
New Caledonia,≤100
Nord-Pas-de-Calais,991
Pays de la Loire,892
Picardie,519
Poitou-Charentes,490
Provence-Alpes-Côte d'Azur,2140
Reunion Island,≤100
Rhône-Alpes,1703
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,4271
