Location name,Amount spent (HUF)
Baranya County,135416
Borsod-Abaúj-Zemplén County,185520
Budapest,885566
Bács-Kiskun County,164606
Békés County,108110
Csongrád County,170188
Fejér County,154534
Győr-Moson-Sopron County,160559
Hajdú-Bihar County,163438
Heves County,114208
Jász-Nagykun-Szolnok County,112672
Komárom-Esztergom County,140488
Nógrád County,53916
Pest County,379914
Somogy County,93054
Szabolcs-Szatmár-Bereg County,146839
Tolna County,66274
Unknown,134
Vas County,85719
Veszprém County,118877
Zala County,98623
