Location name,Amount spent (UYU)
Artigas Department,128
Canelones Department,195
Cerro Largo Department,≤100
Colonia Department,435
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,≤100
Montevideo Department,1790
Paysandú Department,≤100
Rivera Department,583
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,422
San José Department,286
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
