Location name,Amount spent (COP)
Amazonas,1405
Antioquia,12510722
Arauca,13676
Atlantico,993731
Bolivar,160239
Boyaca,597835
Caldas,340492
Caqueta,131911
Casanare,174292
Cauca,172189
Cesar,602170
Choco,22867
Cordoba,293598
Cundinamarca,972963
Distrito Especial,7285170
Guainia,1058
Guaviare,5000
Huila,1144281
La Guajira,71587
Magdalena,379956
Meta,359017
Narino,163080
Norte de Santander,679169
Putumayo,21749
Quindio,101405
Risaralda,1057013
San Andres y Providencia,4144
Santander,1041026
Sucre,197560
Tolima,293155
Unknown,363
Valle del Cauca,2060131
Vaupes,121
Vichada,430
