Page ID,Page name,Disclaimer,Amount spent (LBP),Number of ads in Library
1428873024044736,المدن - almodon,المدن - almodon‎,1249700,9
106197498149118,لبنان الكبير,Grand Lebanon,440149,10
212513695502997,Annahar Newspaper | جريدة النهار,Annahar Newspaper | جريدة النهار,280298,3
101538412538521,شطرنج / مع محمد صابونجي,إياد خالد,224776,1
137195823051820,Maharat Foundation,Maharat Foundation,207612,4
200480966638039,Supremacy 1914,These ads ran without a disclaimer,178496,2
1744356319118477,هنا لبنان,هنا لبنان,164179,4
107800617419717,MYKA Foundation,Elie M. ElHelou,149254,2
116141051407408,Amin Salam,Rami Salam,119403,3
110470091436602,Ici Beyrouth,Ici beyrouth,115075,3
1918990294985442,Megaphone - ميغافون,Megaphone - ميغافون,104478,3
322181790311,Lebanese Forces News,Lebanese Information Technology Services s.a.r.l,79552,1
109112633772887,180post,180Post,64030,2
199579566767546,أنا والخبر,هيثم محمد طالب,59701,1
2082052578716332,محمد شفيق حمود,Arab Window,44776,2
105319651353770,Jusur,Jusur,29851,1
101821442049816,Hadath online,Wassim El Adhami,22239,1
100706719315707,The Policy Initiative مبادرة سياسات الغد,The Policy Initiative مبادرة سياسات الغد,20746,1
153063591397681,Amazon Web Services,These ads ran without a disclaimer,18209,1
104173279272610,Abdo Cherfan,Michel Gedeon,14925,1
107698404702208,Alkalima,Alkalima Onlime,14925,1
278035695547539,Legal Agenda  المفكرة القانونية,Legal Agenda  المفكرة القانونية,8657,1
1569688113329878,Evony - The King's Return,These ads ran without a disclaimer,5373,1
100627069630168,Cecília Martins,These ads ran without a disclaimer,≤100,5
2418643321715898,Daily Stickers,These ads ran without a disclaimer,≤100,1
1438703606372190,Elham Said Freiha,Elham Freiha,≤100,1
111014438406253,Trendyspread shop1,These ads ran without a disclaimer,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,1
111595864923192,Aasi Tahir Siddique,These ads ran without a disclaimer,≤100,1
103553614349757,Hafryat plus,These ads ran without a disclaimer,≤100,1
427648547297783,Hasan Ismaik - حسن إسميك,These ads ran without a disclaimer,≤100,1
198802866938396,Opple Lighting,These ads ran without a disclaimer,≤100,1
175590267993,Al Majalla,These ads ran without a disclaimer,≤100,1
302216297364970,إذاعة أرمينيا العامة,These ads ran without a disclaimer,≤100,1
101584952237158,Fer Barcelar,These ads ran without a disclaimer,≤100,1
113258091679175,DailyLion,These ads ran without a disclaimer,≤100,1
156850176567,المجلة,These ads ran without a disclaimer,≤100,1
104444729065513,Victoria Segovia,These ads ran without a disclaimer,≤100,1
