Location name,Amount spent (LBP)
Beirut Governorate,3161378
Beqaa Governorate,885446
Mount Lebanon Governorate,1803415
Nabatieh Governorate,357482
North Governorate,1356944
South Governorate,639297
Unknown,≤100
