Location name,Amount spent (COP)
Amazonas,2256
Antioquia,5794977
Arauca,21825
Atlantico,502498
Bolivar,250537
Boyaca,433235
Caldas,160440
Caqueta,34859
Casanare,81672
Cauca,222168
Cesar,121048
Choco,39518
Cordoba,209748
Cundinamarca,774767
Distrito Especial,16174356
Guainia,1857
Guaviare,18143
Huila,221974
La Guajira,54063
Magdalena,122685
Meta,325473
Narino,148375
Norte de Santander,179767
Putumayo,137600
Quindio,113410
Risaralda,259731
San Andres y Providencia,8362
Santander,448229
Sucre,66829
Tolima,160676
Unknown,201
Valle del Cauca,2851578
Vaupes,800
Vichada,1933
