Location name,Amount spent (PYG)
Alto Paraguay Department,4472
Alto Paraná Department,1000445
Amambay Department,20265
Asunción,516181
Boquerón department,36141
Caaguazú Department,238538
Caazapá Department,71115
Canindeyú Department,32166
Central Department,1250558
Concepción Department (Paraguay),29269
Cordillera Department,77615
Guairá Department,207242
Itapúa Department,112077
Misiones Department,32152
Paraguarí Department,32020
Presidente Hayes Department,69842
San Pedro Department,45204
Unknown,≤100
Ñeembucú Department,15611
