Location name,Amount spent (EGP)
Al Sharqia Governorate,1821
Alexandria Governorate,1211
Aswan Governorate,213
Asyut Governorate,595
Beheira Governorate,750
Beni Suef Governorate,372
Cairo Governorate,4742
Dakahlia Governorate,1272
Damietta Governorate,486
Faiyum Governorate,453
Gharbia Governorate,1292
Giza Governorate,2136
Ismailia Governorate,903
Kafr el-Sheikh Governorate,594
Luxor Governorate,157
Matrouh Governorate,≤100
Minya Governorate,586
Monufia Governorate,1092
New Valley Governorate,≤100
North Sinai Governorate,109
Port Said Governorate,204
Qalyubia Governorate,1060
Qena Governorate,380
Red Sea Governorate,131
Sohag Governorate,584
South Sinai Governorate,≤100
Suez Governorate,159
Unknown,≤100
