Location name,Amount spent (RON)
Alba County,623
Arad County,556
Argeș County,818
Bacău County,1138
Bihor County,661
Bistrița-Năsăud County,332
Botoșani County,520
Brașov County,817
Brăila County,332
Bucharest,4049
Buzău County,356
Caraș-Severin County,289
Cluj County,1164
Constanța County,1218
Covasna County,267
Călărași County,239
Dolj County,623
Dâmbovița County,488
Galați County,685
Giurgiu County,294
Gorj County,462
Harghita County,531
Hunedoara County,481
Ialomița County,274
Iași County,2056
Ilfov County,547
Maramureș County,557
Mehedinți County,235
Mureș County,749
Neamț County,583
Olt County,342
Prahova County,1201
Satu Mare County,391
Sibiu County,1015
Suceava County,713
Sălaj County,237
Teleorman County,268
Timiș County,1328
Tulcea County,187
Unknown,≤100
Vaslui County,297
Vrancea County,673
Vâlcea County,451
