Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,294
Apurímac Region,≤100
Arequipa Region,364
Ayacucho Region,144
Cajamarca Region,226
Callao,143
Cusco Region,353
Huancavelica Region,≤100
Huánuco Region,126
Ica Region,306
Junín Region,236
La Libertad Region,499
Lambayeque Region,352
Lima Region,2615
Loreto Region,198
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,461
Puno Region,327
San Martín Region,248
Tacna Region,129
Tumbes Region,≤100
Ucayali Region,135
Unknown,≤100
