Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
662196877287140,Tomáš Třetina,PRodukujeme,123,2
416970502094774,Jarda Chalupský,Chalupský,121,1
102620981865843,Jana Skopalíková - radní pro životní prostředí a zemědělství,Jana Skopalíková - radní pro životní prostředí a zemědělství,119,3
107572505087543,AŘOV - Asociace řidičů osobních vozidel,"Asociace řidičů osobních vozidel, z.s.",118,3
1468464403368393,Herbert Pavera - Váš senátor na Opavsku,TOP 09,117,1
1468464403368393,Herbert Pavera - Váš senátor na Opavsku,PRodukujeme s. r. o.,116,4
343987063337791,CyberBlog,Cyber Security Solutions s.r.o.,113,2
139768309509688,Liberecký kraj,Liberecký kraj,112,1
107733504431288,CEVRO ARENA,"CEVRO ARENA, s.r.o.",112,1
1706628786023325,PRodukujeme,PRodukujeme s.r.o.,110,1
996724667073669,Piráti Ostrava,Piráti Ostrava,110,5
100609955039699,Corrency,Corrency,109,4
169946526003,Nadace Partnerství,Nadace Partnerství,108,1
106901094332851,Recykluj - nespaluj,Recykluj - nespaluj hys,107,2
273367223021327,Veronika Vrecionová,Veronika Vrecionová,101,1
58864692622,Český rozhlas Vltava,Český rozhlas,≤100,1
162620837267478,Jan Bartošek,Jan Bartošek,≤100,1
1437561026464333,Patrik Kunčar,KDU-ČSL,≤100,4
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,≤100,1
180133882078712,MINT Market,These ads ran without a disclaimer,≤100,1
397919187215,Evropská komise v ČR,Evropská komise v ČR,≤100,2
101463572568915,Mary NY,These ads ran without a disclaimer,≤100,1
107563435940797,Skanska v ČR a SR,Skanska,≤100,3
275042429350706,Tomáš Zdechovský,Tomáš Zdechovský,≤100,2
343857975108,AFS Mezikulturní programy - Czech Republic,AFS Mezikulturní programy o.p.s.,≤100,3
1408993342760508,Město Louny,Město Louny,≤100,1
356382154550156,e.on,These ads ran without a disclaimer,≤100,1
100737795930031,Dan Leština,Dan Leština,≤100,1
1060889564019324,Tomáš Prouza,Commpanions,≤100,1
101937231589371,Čestmír Bouda,Čestmír Bouda,≤100,2
103624831753285,Jiří Crha - starosta Blanska a náměstek hejtmana JMK,Jiří Crha - starosta Blanska a náměstek hejtmana JMK,≤100,2
150100979041724,Včelka sociální služby,Včelka sociální služby,≤100,1
745225392241191,Primagas Česká republika,PRIMAGAS s.r.o.,≤100,1
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",≤100,3
103779080972210,Youradio Talk,Youradio Talk,≤100,1
549351855145794,Michael Kohajda,Michael Kohajda,≤100,1
198923616951918,"Tomáš Slabihoudek, radní z Osmičky",TOP 09,≤100,1
319958294730813,Jihomoravský kraj,Krajský úřad Jihomoravského kraje,≤100,2
101705226314145,Karel Jurka - starosta Vyškova a radní Jihomoravského kraje,ODS,≤100,2
101051231364600,Miroslav Zborovský - poslanec za JMK,Žijeme reklamou,≤100,1
115602606970,Piráti Plzeňský kraj,Česká pirátská strana - Piráti Plzeňský kraj,≤100,1
115112916857629,Karel Podzimek - Radní Jihomoravského kraje,These ads ran without a disclaimer,≤100,2
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,≤100,1
109909211968977,Miloš Nový - poslanec,TOP 09,≤100,2
2106629662903134,Brno Brňankám a Brňanům,Brno Brňankám a Brňanům,≤100,1
161396423900274,Piráti Pardubický kraj,Česká pirátská strana,≤100,2
252707698079845,Pavel Dobeš • místostarosta Prahy 3,Starostové a nezávislí,≤100,4
120893375974787,Ondřej Kovařík,Ondřej Kovařík,≤100,2
1458827397686128,Koalice Vlasta,Koalice Vlasta,≤100,2
100617488241201,Magazín Proboha,Magazín Proboha,≤100,2
1701718886552103,Moje Evropa,Moje Evropa,≤100,2
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,≤100,1
100357823081565,Dožínky Ol. kraje,EVENPRO,≤100,1
101230222584230,Pavel Vrbický - náměstek primátorky Hradce Králové,Česká pirátská strana,≤100,1
271054846258904,Praha 3,Městská část Praha 3,≤100,2
730141167045202,Brumlovka,Passerinvest Group,≤100,1
1159209940952925,Tomáš Hřebík - strategický rozvoj Prahy 8,TOP 09,≤100,2
385939388500265,Domácí péče Včelka,Domácí péče Včelka,≤100,1
1401994146795511,Svoboda a přímá demokracie Praha - SPD,Svoboda a přímá demokracie - SPD,≤100,2
100528438562922,Oznam.to,Lexnova s.r.o.,≤100,2
863066993754032,LOCIKA - centrum pro děti ohrožené domácím násilím,Centrum LOCIKA,≤100,1
