Location name,Amount spent (DKK)
Capital Region of Denmark,33847
Central Denmark Region,15354
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,6759
Region of Southern Denmark,14703
Unknown,≤100
Zealand Region,19282
