Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
60516116431,Člověk v tísni,Člověk v tísni o.p.s.,42709,41
314038193269,211 - Zdravotní pojišťovna ministerstva vnitra ČR,Zdravotní pojišťovna ministerstva vnitra ČR,19593,17
176688316811,Vodafone CZ,Vodafone Czech Republic a.s.,4595,2
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,4358,8
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,3018,8
178362315106,European Parliament,European Parliament,1880,16
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,1810,5
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,1763,5
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,1385,24
188866358684457,Fuchs2,Fuchs2,1021,2
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,1007,5
1469427909957890,Reportér magazín,Reportér magazín,1007,2
251656685576,KDU-ČSL,KDU-ČSL,973,4
104768355190287,Sázíme Česko,PlanetWe Rewild s.r.o.,948,1
55408246161,Amnesty International ČR,Amnesty International ČR,944,1
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,874,4
143332019059223,DOC Mercury,Jakub Lorenc,867,1
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,857,2
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",846,10
100524626327186,Новсти Европы,These ads ran without a disclaimer,820,3
356451014434612,Marian Jurečka,KDU-ČSL,808,5
424114981002397,Český rozhlas Plus,Český rozhlas,807,23
52479821102,Týdeník Respekt,Týdeník Respekt,793,5
117823623864,Transparency International ČR,Transparency International ČR,748,7
111041662264882,ČSSD,ČSSD,739,1
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,689,4
102090718057736,Urban Developers and Investors,"Urban Developers and Investors, s.r.o.",678,1
597980334012769,Svoboda a přímá demokracie Moravskoslezský kraj - SPD,Svoboda a přímá demokracie (SPD),655,5
137778619615350,Voyo.cz,TV Nova s. r. o.,600,2
416190415243,Fakulta životního prostředí - ČZU v Praze,Fakulta životního prostředí,595,15
693725074166331,Naše zdravotnictví,Naše zdravotnictví,582,4
1757913860945739,ORLEN Unipetrol,ORLEN Unipetrol a.s.,526,1
460558621177512,Zálohujme.cz,Zálohujme,518,5
822146574595819,Agrární komora České republiky,Agrární komora České republiky,512,1
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,493,2
113743658978459,Meltingpot,Meltingpot,488,7
111108757492137,Libor Vondráček • Svobodní,Libor Vondráček • Svobodní,481,9
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,477,2
711658465662315,XTV,XTV,423,16
90002267161,TOP 09,TOP 09,415,3
511497365600515,Markéta Pekarová Adamová,TOP 09,410,2
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,408,3
199064530104466,Hodina Země ČR,ZO ČSOP Veronica,371,2
246919825409416,Piráti Přerov,Česká pirátská strana,346,3
109664387308142,Poradna pro obce,KVB advokátní kancelář s.r.o.,315,4
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",293,3
206284412716963,Plzeňský kraj,Plzeňský kraj,281,2
2355870998014543,Sázíme budoucnost,Nadace Partnerství,272,2
799083753454179,Voxpot,Voxpot z. ú.,254,4
2242877092705890,Adam Zábranský - pražský radní,Česká pirátská strana - Praha,254,1
124152241443,Čmelák - Společnost Přátel Přírody,Čmelák - Společnost přátel přírody,245,11
1962450550674040,TVarchitect.com,Living Media s.r.o.,216,3
1410403182565683,Petr Hladík,KDU-ČSL,215,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,211,3
1845447639031005,Mayor Bradburn,These ads ran without a disclaimer,208,2
288004403427,"Friedrich-Ebert-Stiftung, zastoupení v České republice","Friedrich-Ebert-Stiftung, zastoupení v České republice",205,2
