Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
102931488739,Platforma Obywatelska,Platforma Obywatelska,6036,124
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,2128,221
106658984378489,Gra Paczka,Stowarzyszenie WIOSNA,1933,29
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,1717,35
380485532115847,Ministerstwo Rodziny i Polityki Społecznej,Ministerstwo Rodziny i Polityki Społecznej,1375,1
104442609633150,Lubuskie,Lubuskie,1374,5
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,1333,11
294676812478,IKEA,These ads ran without a disclaimer,1222,1
57544755889,Amnesty International Polska,Amnesty International Polska,1136,33
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,1135,12
349783468716743,Włodzimierz Tomaszewski Minister ds. Samorządu Terytorialnego Poseł na Sejm,Włodzimierz Tomaszewski Minister ds. Samorządu Terytorialnego Poseł na Sejm,1077,1
228168274881,wysokieobcasy,wysokieobcasy,877,2
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,788,13
111275624780972,Erase Indifference,Erase Indifference,751,8
107590839282206,BNP Paribas Bank Polska,BNP Paribas Bank Polska S.A.,750,4
101995462097618,Dajcie Żyć,Stowarzyszenie Kultury Chrześcijańskiej im. Ks. Piotra Skargi,684,1
1937461523203000,Fundacja Promocji Pojazdów Elektrycznych FPPE,Fundacja Promocji Pojazdów Elektrycznych,673,33
137877409609952,Lewica,Nowa Lewica,671,2
178362315106,European Parliament,European Parliament,591,6
144808095552639,ING Polska,ING Polska,564,3
182038191908977,Ministerstwo Cyfryzacji,Kancelaria Prezesa Rady Ministrów,536,6
653937168081792,PZU,Powszechny Zakład Ubezpieczeń Spółka Akcyjna (PZU SA),513,6
117930759609640,Platforma Przemysłu Przyszłości,Fundacja Platforma Przemysłu Przyszłości,505,34
339855706171439,Dobra Fabryka,Dobra Fabryka,485,2
618179678235315,wschód,wschód,382,3
391098174296294,Super Express,se.pl,379,8
342701305934903,Małgorzata Chmiel - poseł na Sejm RP,Małgorzata Chmiel - poseł na Sejm RP,373,3
228366267271894,Warsaw Enterprise Institute,Fundacja Warsaw Enterprise Institute,325,2
163488137165461,E.ON Polska,E.ON Polska,316,11
256314858405394,Paweł Olszewski,Paweł Olszewski,315,5
102811109411234,Do:łącz,Dołącz,311,16
164968446888637,Ministerstwo Sprawiedliwości,Ministerstwo Sprawiedliwości,311,1
195591907176717,Grzegorz Piechowiak - Wiceminister Rozwoju i Technologii,Biuro Posła Grzegorza Piechowiaka,303,4
1227194230675141,Pratia,Pratia SA,303,14
1480642642217482,Marcin Dmowski,Marcin Dmowski,300,1
513969188677442,Compassion Polska,Compassion Polska,288,11
276860619087002,Sylwester Tułajew,Sylwester Tułajew,280,4
178415208919146,Suwerenna Polska,Solidarna Polska,268,4
371359310400318,Janusz Kowalski,Janusz Kowalski,267,12
1683534065241470,OKO.press,OKO.press,258,18
112648362119951,Państwowa Akademia Nauk Stosowanych w Nysie,These ads ran without a disclaimer,254,1
