Location name,Amount spent (COP)
Amazonas,1585
Antioquia,10198964
Arauca,11697
Atlantico,438181
Bolivar,172956
Boyaca,355109
Caldas,1015426
Caqueta,69107
Casanare,188513
Cauca,375673
Cesar,68599
Choco,17602
Cordoba,379518
Cundinamarca,291716
Distrito Especial,4311193
Guainia,28344
Guaviare,12233
Huila,373892
La Guajira,38008
Magdalena,747866
Meta,663000
Narino,170908
Norte de Santander,1179638
Putumayo,193520
Quindio,110003
Risaralda,430778
San Andres y Providencia,4463
Santander,1816284
Sucre,271542
Tolima,249503
Unknown,309
Valle del Cauca,4353247
Vaupes,347
Vichada,1185
