Location name,Amount spent (PKR)
Azad Kashmir,1147
Balochistan,1724
Federally Administered Tribal Areas,302
Gilgit-Baltistan,398
Islamabad Capital Territory,6726
Khyber Pakhtunkhwa,7724
Punjab,53377
Sindh,11693
Unknown,≤100
