Location name,Amount spent (PKR)
Azad Kashmir,665
Balochistan,896
Federally Administered Tribal Areas,186
Gilgit-Baltistan,343
Islamabad Capital Territory,1826
Khyber Pakhtunkhwa,5440
Punjab,38864
Sindh,9515
Unknown,≤100
