Location name,Amount spent (VND)
An Giang Province,62868
Bà Rịa–Vũng Tàu Province,29822
Bình Dương Province,87511
Bình Phước Province,20228
Bình Thuận Province,37811
Bình Định Province,84999
Bạc Liêu Province,15518
Bắc Giang Province,33475
Bắc Kạn Province,4996
Bắc Ninh Province,9746
Bến Tre Province,34623
Cao Bằng Province,119693
Cà Mau Province,25414
Cần Thơ,220307
Da Nang,28800
Gia Lai Province,27775
Haiphong,33380
Ho Chi Minh City,618938
Hà Giang Province,3630
Hà Nam Province,5006
Hà Tĩnh Province,22524
Hòa Bình Province,8835
Hưng Yên Province,4980
Hải Dương Province,10291
Hậu Giang Province,50529
Khánh Hòa Province,35695
Kiên Giang Province,93111
Kon Tum Province,7761
Lai Châu Province,1301
Long An Province,41046
Lào Cai Province,6723
Lâm Đồng Province,29247
Lạng Sơn Province,9890
Nam Định Province,8477
Nghệ An Province,86315
Ninh Bình Province,4726
Ninh Thuận Province,10433
Phú Thọ Province,10543
Phú Yên Province,23960
Quảng Bình Province,12501
Quảng Nam Province,32568
Quảng Ngãi Province,19206
Quảng Ninh Province,30025
Quảng Trị Province,6558
Sóc Trăng Province,110022
Sơn La Province,14695
Thanh Hóa Province,38867
Thái Bình Province,13435
Thái Nguyên Province,21315
Thừa Thiên–Huế Province,11307
Tiền Giang Province,60730
Trà Vinh Province,63042
Tuyên Quang Province,10223
Tây Ninh Province,35590
Unknown,≤100
Vĩnh Long Province,93988
Vĩnh Phúc Province,9957
Yên Bái Province,36620
Điện Biên Province,4407
Đắk Lắk Province,53089
Đắk Nông Province,5818
Đồng Nai Province,90510
Đồng Tháp Province,137888
