Location name,Amount spent (MXN)
Aguascalientes,5005
Baja California,17052
Baja California Sur,2606
Campeche,8159
Chiapas,13075
Chihuahua,23265
Coahuila de Zaragoza,20801
Colima,15295
Distrito Federal,180925
Durango,3495
Guanajuato,30061
Guerrero,8957
Hidalgo,7923
Jalisco,69362
Michoacán de Ocampo,21448
Morelos,6057
Nayarit,14139
Nuevo León,126668
Oaxaca,7719
Puebla,16057
Querétaro Arteaga,11215
Quintana Roo,8163
San Luis Potosi,10189
Sinaloa,8630
Sonora,16766
State of Mexico,59181
Tabasco,6694
Tamaulipas,19048
Tlaxcala,2626
Unknown,≤100
Veracruz,18333
Yucatán,27876
Zacatecas,2977
