Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
1392592317738074,Jorge Cálix,Jorge Cálix,1578,13
459107311130639,Dr. Luther Harry,Dr. Luther Harry,527,3
104599735671754,Goberna Honduras,Goberna Honduras,413,12
366906170115737,Coiproden,These ads ran without a disclaimer,287,1
130202453827085,Asociacion Calidad de Vida,Asociación Calidad de Vida,245,3
486382251906084,Honduras El Pais,Diario El  Pais.hn,155,2
491553204198958,Revistazo.com,Revistazo.com,142,3
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
103484238067077,Karla Cisneros,These ads ran without a disclaimer,≤100,1
105686442303512,CTGI,These ads ran without a disclaimer,≤100,1
324253041382779,Xavier Cormier,These ads ran without a disclaimer,≤100,3
