Location name,Amount spent (MXN)
Aguascalientes,6651
Baja California,22517
Baja California Sur,6774
Campeche,18635
Chiapas,15165
Chihuahua,44198
Coahuila de Zaragoza,173601
Colima,3914
Distrito Federal,128543
Durango,8187
Guanajuato,29774
Guerrero,8259
Hidalgo,8656
Jalisco,107927
Michoacán de Ocampo,41495
Morelos,19645
Nayarit,5493
Nuevo León,84399
Oaxaca,16376
Puebla,34249
Querétaro Arteaga,17342
Quintana Roo,68407
San Luis Potosi,12976
Sinaloa,12837
Sonora,16486
State of Mexico,304509
Tabasco,10803
Tamaulipas,30353
Tlaxcala,3205
Unknown,≤100
Veracruz,25432
Yucatán,28314
Zacatecas,7441
