Location name,Amount spent (EUR)
Blagoevgrad Province,977
Burgas Province,1509
Dobrich Province,844
Gabrovo Province,395
Haskovo Province,600
Kardzhali Province,339
Kyustendil Province,249
Lovech Province,339
Montana Province,252
Pazardzhik Province,666
Pernik Province,461
Pleven Province,973
Plovdiv Province,1972
Razgrad Province,485
Ruse Province,802
Shumen Province,402
Silistra Province,323
Sliven Province,709
Smolyan Province,283
Sofia City Province,6124
Sofia Province,568
Stara Zagora Province,1137
Targovishte Province,375
Unknown,≤100
Varna Province,1907
Veliko Tarnovo Province,815
Vidin Province,180
Vratsa Province,576
Yambol Province,379
