Location name,Amount spent (AUD)
Australian Capital Territory,669
Jervis Bay Territory,≤100
New South Wales,10823
Northern Territory,214
Queensland,6497
South Australia,2115
Tasmania,1074
Unknown,≤100
Victoria,7095
Western Australia,2922
