Location name,Amount spent (AUD)
Australian Capital Territory,1494
Jervis Bay Territory,≤100
New South Wales,110940
Norfolk Island,≤100
Northern Territory,589
Queensland,11700
South Australia,4193
Tasmania,1801
Unknown,≤100
Victoria,20274
Western Australia,6983
