Location name,Amount spent (VND)
An Giang Province,62198
Bà Rịa–Vũng Tàu Province,51179
Bình Dương Province,69874
Bình Phước Province,74898
Bình Thuận Province,119830
Bình Định Province,126180
Bạc Liêu Province,37600
Bắc Giang Province,185164
Bắc Kạn Province,27814
Bắc Ninh Province,130811
Bến Tre Province,46936
Cao Bằng Province,35260
Cà Mau Province,48502
Cần Thơ,53969
Da Nang,307379
Gia Lai Province,85902
Haiphong,67121
Ho Chi Minh City,667029
Hà Giang Province,46373
Hà Nam Province,57900
Hà Tĩnh Province,138357
Hòa Bình Province,55555
Hưng Yên Province,64304
Hải Dương Province,158320
Hậu Giang Province,20383
Khánh Hòa Province,44566
Kiên Giang Province,76533
Kon Tum Province,31562
Lai Châu Province,12304
Long An Province,63024
Lào Cai Province,38318
Lâm Đồng Province,89375
Lạng Sơn Province,58626
Nam Định Province,96146
Nghệ An Province,290593
Ninh Bình Province,68819
Ninh Thuận Province,34906
Phú Thọ Province,293643
Phú Yên Province,51296
Quảng Bình Province,70712
Quảng Nam Province,427093
Quảng Ngãi Province,124915
Quảng Ninh Province,65865
Quảng Trị Province,57359
Sóc Trăng Province,37564
Sơn La Province,88142
Thanh Hóa Province,1396022
Thái Bình Province,94684
Thái Nguyên Province,104246
Thừa Thiên–Huế Province,231203
Tiền Giang Province,47402
Trà Vinh Province,38672
Tuyên Quang Province,176208
Tây Ninh Province,211090
Vĩnh Long Province,33239
Vĩnh Phúc Province,99684
Yên Bái Province,82113
Điện Biên Province,31088
Đắk Lắk Province,139244
Đắk Nông Province,68300
Đồng Nai Province,85854
Đồng Tháp Province,50380
