Location name,Amount spent (HUF)
Baranya County,140968
Borsod-Abaúj-Zemplén County,196180
Budapest,1025042
Bács-Kiskun County,167701
Békés County,112918
Csongrád County,152820
Fejér County,159121
Győr-Moson-Sopron County,153984
Hajdú-Bihar County,188396
Heves County,100176
Jász-Nagykun-Szolnok County,118068
Komárom-Esztergom County,97595
Nógrád County,53998
Pest County,397730
Somogy County,92883
Szabolcs-Szatmár-Bereg County,165534
Tolna County,78443
Unknown,189
Vas County,88771
Veszprém County,107679
Zala County,105469
