Page ID,Page name,Disclaimer,Amount spent (JPY),Number of ads in Library
745139222217087,TRILL - トリル,These ads ran without a disclaimer,86702,5
664345490331547,ビジネス＋it（Business+it）,ビジネス＋it（Business+it）,78001,5
208661552479830,日本財団,Shigeru Fujita,77745,8
1904070096535109,スマート選挙,株式会社センキョ,71335,21
101701595906601,愛知県選挙管理委員会,愛知県選挙管理委員会,52720,3
684161888345926,西日本新聞me,西日本新聞me,36480,19
107340494897071,株式会社INPEX,株式会社INPEX,30808,1
475681929154100,国連UNHCR協会,国連UNHCR協会,29303,10
106708475612902,愛知県商工会連合会,愛知県商工会連合会,27929,1
239558679475625,株式会社トマス技術研究所,Kenji Fukutomi,21149,14
106489258987363,愛知県知事選挙啓発アカウント,名古屋市選挙管理委員会事務局,9807,2
579187028792625,社長と会社の手元現金を増やす仕組みづくりの専門家,社長と会社の手元現金を増やす仕組みづくりの専門家,8242,1
102468941548369,宮城県民共済,宮城県民共済,6963,3
102452195938490,柴田英樹,柴田英樹,4927,2
105675478186991,金井たかし　江戸川区の政策研究,金井 高志,3888,1
116729377981441,倉敷市未来価値創造人材確保支援事業,株式会社東京リーガルマインド　広島本校,2594,3
603731356470113,関西学院大学　診療所を中核とした地域医療経営人材育成プログラム,関西学院大学専門職大学院　経営戦略研究科,2487,2
766675180118176,最新ビジネスイベントを配信中『ビズスタ』,ビズスタ,2276,6
100428365733199,国民民主党_東京都総支部連合会（東京都連）,国民民主党東京都総支部連合会,2060,1
109760801771369,橋本 みきひこ,橋本 みきひこ,1871,3
102104016089903,上田かずき,上田かずきと共に未来を考える会,1849,27
428707860616752,文京区議会議員えびさわけいこ,えびさわけいこ事務所,1622,1
881025135256351,Japan In-depth,Japan In-depth,1575,7
151214938794853,ミエセン,ジャッグジャパン株式会社,1517,9
1671853216366712,東こう史ひろ,東猴史紘,1101,1
104533215755145,ZOE_Japan,ZOE Japan,1078,1
270368192998908,世田谷区議会議員  あべ力也,阿部 力也,1029,1
105546298077716,大阪府地球温暖化防止活動推進センター,大阪府地球温暖化防止活動推進センター,961,1
1574213032824051,交通事故を検証する。,鶴田 敬治,957,5
676655469036670,松下政経塾,松下政経塾,867,3
100554152593223,堤じゅん太事務所 【京都府議会議員】,堤 じゅん太,692,1
104367261609980,飯牟礼克年（いいむれ かつとし）後援会,Katsutoshi Iimure,628,1
1693424197555537,赤磐市議会議員 佐々木ゆうじ,Sasaki Yuji,581,2
1677419399148240,たはら亮 後援会（朝霞市）,Ryo  Tahara,580,1
192399998157650,市来ハヤト（大阪維新の会）,市來隼後援会,552,1
130744490327021,相模原市議会議員 阿部よしひろ,阿部 善博,502,1
1607696895913679,日経プラス９サタデー　ニュースの疑問,Takamasa Kikawa,500,1
379131742205275,女性と子どものエンパワメント関西,女性と子どものエンパワメント関西,499,1
379131742205275,女性と子どものエンパワメント関西,特定非営利活動法人 女性と子どものエンパワメント関西,494,1
489557227903715,伊藤ゆう- 都議会議員／目黒区,伊藤悠,471,1
1574213032824051,交通事故を検証する。,交通事故を検証する。,458,3
642065195899595,多治見市議会議員 吉田企貴後援会,吉田 企貴,410,1
1672330153015605,透明アクリル業者票,アドアチーブ株式会社,389,1
123217824515511,牛見 航  /  山口県防府市議会議員,Wataru Ushimi,338,1
256504371891671,the-issues.jp,株式会社issues,286,2
142166805869058,ユンケル（佐藤製薬）,These ads ran without a disclaimer,220,1
146709162183685,くすのき　りえこ,藤川忠彦,205,1
426981831471929,仙台市議会議員　田村勝,田村勝,197,1
551303845317383,高橋元気（中央区議会議員）,Genki Takahashi,160,1
372628692868744,情報・知識事典 imidas,These ads ran without a disclaimer,144,1
1917715138510680,Follow Your Legend,These ads ran without a disclaimer,132,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,128,1
288301635169706,たかはま なおき　文京区議会議員,高浜 直樹,101,1
492073607520322,認定特定非営利活動法人 ふくしま30年プロジェクト,NPO法人ふくしま30年プロジェクト,≤100,1
113450827503674,The House News,These ads ran without a disclaimer,≤100,2
101241435849797,Tot Reading,These ads ran without a disclaimer,≤100,1
243385523091421,Competent Boards,These ads ran without a disclaimer,≤100,1
101734509129533,Mid Reading,These ads ran without a disclaimer,≤100,1
102261795813334,Tes Stories,These ads ran without a disclaimer,≤100,1
131664893560695,Origins OSU,These ads ran without a disclaimer,≤100,1
107514541536074,The House Glaze,These ads ran without a disclaimer,≤100,1
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,1
108979982026516,Mariya Dykalo-Burton,These ads ran without a disclaimer,≤100,1
56777943052,One Young World,These ads ran without a disclaimer,≤100,1
101125812557848,Nov Stories,These ads ran without a disclaimer,≤100,1
100599845565702,The House Dear,These ads ran without a disclaimer,≤100,1
8002590959,Rainforest Action Network - RAN,These ads ran without a disclaimer,≤100,3
310943025606302,World Cancer Day,These ads ran without a disclaimer,≤100,1
151042751741340,Stuzo clothing,These ads ran without a disclaimer,≤100,1
108779828756408,Guilherme Bara,These ads ran without a disclaimer,≤100,1
109954608456111,Bor Hit,These ads ran without a disclaimer,≤100,1
1220981994590364,FT Partner Content,These ads ran without a disclaimer,≤100,6
1834711490185155,Турецкий язык по скайпу от Анны Боровской,These ads ran without a disclaimer,≤100,1
