Location name,Amount spent (EUR)
Alsace,723
Aquitaine,1211
Auvergne,365
Basse-Normandie,476
Bourgogne,484
Bretagne,1005
Centre,854
Champagne-Ardenne,412
Corse,128
Franche-Comté,305
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,756
Languedoc-Roussillon,1063
Limousin,226
Lorraine,898
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1004
New Caledonia,≤100
Nord-Pas-de-Calais,1456
Pays de la Loire,1230
Picardie,617
Poitou-Charentes,565
Provence-Alpes-Côte d'Azur,2048
Reunion Island,≤100
Rhône-Alpes,1969
Unknown,≤100
Île-de-France,3606
