Location name,Amount spent (THB)
Amnat Charoen,128
Ang Thong,≤100
Ayutthaya,518
Bangkok,12336
Bueng Kan,116
Buriram,414
Chachoengsao,230
Chai Nat,267
Chaiyaphum,245
Chanthaburi,203
Chiang Mai,655
Chiang Rai,345
Chon Buri,670
Chumphon,427
Kalasin,2675
Kamphaeng Phet,237
Kanchanaburi,331
Khon Kaen,529
Krabi,361
Lampang,260
Lamphun,135
Loei,172
Lop Buri,221
Mae Hong Son,≤100
Maha Sarakham,610
Mukdahan,140
Nakhon Nayok,≤100
Nakhon Pathom,587
Nakhon Phanom,162
Nakhon Ratchasima,749
Nakhon Sawan,559
Nakhon Si Thammarat,2091
Nan,123
Narathiwat,213
Nong Bua Lam Phu,120
Nong Khai,140
Nonthaburi,788
Pathum Thani,547
Pattani,254
Phangnga,229
Phatthalung,334
Phayao,283
Phetchabun,236
Phetchaburi,774
Phichit,236
Phitsanulok,2270
Phrae,137
Phuket,1647
Prachin Buri,182
Prachuap Khiri Khan,512
Ranong,110
Ratchaburi,383
Rayong,294
Roi Et,608
Sa Kaeo,146
Sakon Nakhon,372
Samut Prakan,387
Samut Sakhon,310
Samut Songkhram,374
Saraburi,241
Satun,166
Sing Buri,≤100
Sisaket,356
Songkhla,1728
Sukhothai,297
Suphan Buri,341
Surat Thani,5219
Surin,375
Tak,374
Trang,400
Trat,≤100
Ubon Ratchathani,581
Udon Thani,409
Unknown,≤100
Uthai Thani,113
Uttaradit,142
Yala Province,224
Yasothon,198
