Location name,Amount spent (SEK)
Blekinge County,4181
Dalarna County,8335
Gotland County,1816
Gävleborg County,8663
Halland County,7734
Jämtland County,3831
Jönköping County,9542
Kalmar County,6275
Kronoberg County,4681
Norrbotten County,6838
Skåne County,36162
Stockholm County,62384
Södermanland County,8377
Unknown,≤100
Uppsala County,10630
Värmland County,7648
Västerbotten County,7699
Västernorrland County,6993
Västmanland County,7248
Västra Götaland County,45394
Örebro County,8439
Östergötland County,11760
