Location name,Amount spent (DKK)
Capital Region of Denmark,64783
Central Denmark Region,37058
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,17671
Region of Southern Denmark,33960
Unknown,≤100
Zealand Region,21156
