Location name,Amount spent (PKR)
Azad Kashmir,1565
Balochistan,901
Federally Administered Tribal Areas,250
Gilgit-Baltistan,427
Islamabad Capital Territory,3094
Khyber Pakhtunkhwa,5522
Punjab,20658
Sindh,8232
Unknown,≤100
