Location name,Amount spent (USD)
Al Anbar Governorate,120
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,387
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,≤100
Erbil Governorate,223
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,≤100
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,182
Nineveh Governorate,119
Saladin Governorate,≤100
Sulaymaniyah Governorate,192
Unknown,≤100
Wasit Governorate,≤100
