Location name,Amount spent (HUF)
Baranya County,96792
Borsod-Abaúj-Zemplén County,146796
Budapest,574476
Bács-Kiskun County,124215
Békés County,79969
Csongrád County,160829
Fejér County,115297
Győr-Moson-Sopron County,116868
Hajdú-Bihar County,215559
Heves County,96852
Jász-Nagykun-Szolnok County,88016
Komárom-Esztergom County,85827
Nógrád County,57121
Pest County,237968
Somogy County,73345
Szabolcs-Szatmár-Bereg County,129578
Tolna County,66631
Unknown,≤100
Vas County,66397
Veszprém County,80864
Zala County,85008
