Location name,Amount spent (COP)
Amazonas,395
Antioquia,1836937
Arauca,4397
Atlantico,188975
Bolivar,97228
Boyaca,17453
Caldas,16360
Caqueta,41442
Casanare,5899
Cauca,77568
Cesar,63645
Choco,15118
Cordoba,31470
Cundinamarca,147538
Distrito Especial,1518857
Guainia,167
Guaviare,1193
Huila,48929
La Guajira,35484
Magdalena,84393
Meta,57007
Narino,32331
Norte de Santander,29320
Putumayo,17611
Quindio,10283
Risaralda,77589
San Andres y Providencia,1752
Santander,49941
Sucre,18223
Tolima,59668
Unknown,≤100
Valle del Cauca,198082
Vaupes,108
Vichada,171
