Location name,Amount spent (PKR)
Azad Kashmir,1264
Balochistan,4320
Federally Administered Tribal Areas,810
Gilgit-Baltistan,827
Islamabad Capital Territory,4715
Khyber Pakhtunkhwa,11447
Punjab,58366
Sindh,22304
Unknown,≤100
