Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,249
Cerro Largo Department,≤100
Colonia Department,147
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,≤100
Montevideo Department,1066
Paysandú Department,123
Rivera Department,168
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,175
San José Department,≤100
Soriano Department,149
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
