Location name,Amount spent (ARS)
Buenos Aires,2143165
Catamarca,66678
Chaco,177942
Chubut,227093
Ciudad Autónoma de Buenos Aires,645719
Corrientes,85392
Córdoba,2420188
Entre Rios,161606
Formosa,48746
Jujuy,173064
La Pampa,167157
La Rioja,156003
Mendoza,297322
Misiones,413879
Neuquén,3778769
Río Negro,978660
Salta,1148669
San Juan,374851
San Luis,166215
Santa Cruz,34007
Santa Fe,540625
Santiago del Estero,50092
Tierra del Fuego,192648
Tucuman,224523
Unknown,449
