Location name,Amount spent (NZD)
Auckland Region,4121
Bay of Plenty Region,650
Canterbury,1405
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,294
Manawatu-Wanganui,622
Marlborough Region,103
Nelson Province,175
Niue,≤100
Northland Region,539
Otago,619
Southland,208
Taranaki,367
Tasman District,≤100
Tokelau,≤100
Unknown,≤100
Waikato,1018
Wellington Region,1127
West Coast,≤100
